0,26,39822,0
0,26,39822,1
0,26,39822,2
0,1,38133,0
0,1,38133,1
0,1,38133,2
0,19,99576,0
0,19,99576,1
0,19,99576,2
0,17,91647,0
0,17,91647,1
0,17,91647,2
0,5,91314,0
0,5,91314,1
0,5,91314,2
0,9,90318,0
0,9,90318,1
0,9,90318,2
0,21,35805,0
0,21,35805,1
0,21,35805,2
0,14,14184,0
0,14,14184,1
0,14,14184,2
0,39,16788,0
0,39,16788,1
0,39,16788,2
0,20,98256,0
0,20,98256,1
0,20,98256,2
0,27,19971,0
0,27,19971,1
0,27,19971,2
26,0,103599,0
26,0,103599,1
26,0,103599,2
26,1,119064,0
26,1,119064,1
26,1,119064,2
26,19,200856,0
26,19,200856,1
26,19,200856,2
26,17,252003,0
26,17,252003,1
26,17,252003,2
26,5,123687,0
26,5,123687,1
26,5,123687,2
26,9,122514,0
26,9,122514,1
26,9,122514,2
26,21,63780,0
26,21,63780,1
26,21,63780,2
26,14,32259,0
26,14,32259,1
26,14,32259,2
26,39,43569,0
26,39,43569,1
26,39,43569,2
26,20,115359,0
26,20,115359,1
26,20,115359,2
26,27,36357,0
26,27,36357,1
26,27,36357,2
1,0,177570,0
1,0,177570,1
1,0,177570,2
1,26,213108,0
1,26,213108,1
1,26,213108,2
1,19,304482,0
1,19,304482,1
1,19,304482,2
1,17,196638,0
1,17,196638,1
1,17,196638,2
1,3,7575,0
1,3,7575,1
1,3,7575,2
1,5,266376,0
1,5,266376,1
1,5,266376,2
1,8,4602,0
1,8,4602,1
1,8,4602,2
1,9,345003,0
1,9,345003,1
1,9,345003,2
1,21,348870,0
1,21,348870,1
1,21,348870,2
1,12,5628,0
1,12,5628,1
1,12,5628,2
1,14,168138,0
1,14,168138,1
1,14,168138,2
1,39,377067,0
1,39,377067,1
1,39,377067,2
1,18,5808,0
1,18,5808,1
1,18,5808,2
1,20,239799,0
1,20,239799,1
1,20,239799,2
1,27,146157,0
1,27,146157,1
1,27,146157,2
19,0,259044,0
19,0,259044,1
19,0,259044,2
19,26,200856,0
19,26,200856,1
